Date : 2023-11-01 21:42:55
Directory : c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo
Total : 164 files,  30584 codes, 151 comments, 773 blanks, all 31508 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Entities\bin\Debug\net7.0                                                                                                                               |          1 |      1,308 |          0 |          0 |      1,308 |
| Entities\obj                                                                                                                                            |         10 |      4,062 |         21 |         14 |      4,097 |
| Entities\obj (Files)                                                                                                                                    |          4 |      4,016 |          0 |          0 |      4,016 |
| Entities\obj\Debug                                                                                                                                      |          3 |         23 |         10 |          7 |         40 |
| Entities\obj\Debug\net7.0                                                                                                                               |          3 |         23 |         10 |          7 |         40 |
| Entities\obj\Release                                                                                                                                    |          3 |         23 |         11 |          7 |         41 |
| Entities\obj\Release\net7.0                                                                                                                             |          3 |         23 |         11 |          7 |         41 |
| Test                                                                                                                                                    |         16 |        293 |         24 |         29 |        346 |
| Test (Files)                                                                                                                                            |          2 |         53 |          1 |         13 |         67 |
| Test\bin                                                                                                                                                |          2 |         32 |          0 |          0 |         32 |
| Test\bin\Debug                                                                                                                                          |          2 |         32 |          0 |          0 |         32 |
| Test\bin\Debug\net7.0                                                                                                                                   |          2 |         32 |          0 |          0 |         32 |
| Test\obj                                                                                                                                                |         12 |        208 |         23 |         16 |        247 |
| Test\obj (Files)                                                                                                                                        |          4 |        148 |          0 |          0 |        148 |
| Test\obj\Debug                                                                                                                                          |          4 |         30 |         11 |          8 |         49 |
| Test\obj\Debug\net7.0                                                                                                                                   |          4 |         30 |         11 |          8 |         49 |
| Test\obj\Release                                                                                                                                        |          4 |         30 |         12 |          8 |         50 |
| Test\obj\Release\net7.0                                                                                                                                 |          4 |         30 |         12 |          8 |         50 |
| WebApi                                                                                                                                                  |         31 |      6,860 |         37 |        179 |      7,076 |
| WebApi (Files)                                                                                                                                          |          4 |         58 |          4 |         22 |         84 |
| WebApi\Controllers                                                                                                                                      |          5 |        402 |          1 |        133 |        536 |
| WebApi\Properties                                                                                                                                       |          1 |         41 |          0 |          1 |         42 |
| WebApi\bin                                                                                                                                              |          4 |      1,440 |          0 |          2 |      1,442 |
| WebApi\bin\Debug                                                                                                                                        |          4 |      1,440 |          0 |          2 |      1,442 |
| WebApi\bin\Debug\net7.0                                                                                                                                 |          4 |      1,440 |          0 |          2 |      1,442 |
| WebApi\obj                                                                                                                                              |         17 |      4,919 |         32 |         21 |      4,972 |
| WebApi\obj (Files)                                                                                                                                      |          4 |      4,805 |          0 |          0 |      4,805 |
| WebApi\obj\Debug                                                                                                                                        |          9 |         69 |         20 |         13 |        102 |
| WebApi\obj\Debug\net7.0                                                                                                                                 |          9 |         69 |         20 |         13 |        102 |
| WebApi\obj\Debug\net7.0 (Files)                                                                                                                         |          6 |         60 |         20 |         13 |         93 |
| WebApi\obj\Debug\net7.0\staticwebassets                                                                                                                 |          3 |          9 |          0 |          0 |          9 |
| WebApi\obj\Release                                                                                                                                      |          4 |         45 |         12 |          8 |         65 |
| WebApi\obj\Release\net7.0                                                                                                                               |          4 |         45 |         12 |          8 |         65 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\ProjectSettings.json                                                           | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\VSWorkspaceState.json                                                          | JSON       |          7 |          0 |          0 |          7 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\tasks.vs.json                                                                  | JSON       |         10 |          0 |          0 |         10 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IAuthServices.cs                                                 | C#         |          6 |          0 |          6 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\ICursoServices.cs                                                | C#         |         10 |          0 |          9 |         19 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IHorariosServices.cs                                             | C#         |          9 |          0 |          7 |         16 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IMateriaServices.cs                                              | C#         |          8 |          0 |          6 |         14 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IUbicationServices.cs                                            | C#         |          8 |          0 |         10 |         18 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IUserServices.cs                                                 | C#         |          9 |          0 |         10 |         19 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Business.csproj                                                           | XML        |         12 |          0 |          4 |         16 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\AuthManager.cs                                                   | C#         |         31 |          0 |         13 |         44 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\CursoManager.cs                                                  | C#         |         68 |          0 |         27 |         95 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\HorarioManager.cs                                                | C#         |         57 |          0 |         17 |         74 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\MateriaManager.cs                                                | C#         |         82 |          0 |         19 |        101 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\UbicationManager.cs                                              | C#         |         48 |          0 |         16 |         64 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\UserManager.cs                                                   | C#         |         61 |          0 |         23 |         84 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\bin\Debug\net7.0\Business.deps.json                                       | JSON       |      1,342 |          0 |          0 |      1,342 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.dgspec.json                                     | JSON       |        295 |          0 |          0 |        295 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.g.props                                         | XML        |         18 |          0 |          0 |         18 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.g.targets                                       | XML        |          7 |          0 |          0 |          7 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs           | C#         |          3 |          1 |          1 |          5 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.AssemblyInfo.cs                                 | C#         |          9 |          9 |          5 |         23 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.GeneratedMSBuildEditorConfig.editorconfig       | Properties |         11 |          0 |          1 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.GlobalUsings.g.cs                               | C#         |          7 |          1 |          1 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs         | C#         |          3 |          1 |          1 |          5 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.AssemblyInfo.cs                               | C#         |          9 |         10 |          5 |         24 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.GeneratedMSBuildEditorConfig.editorconfig     | Properties |         11 |          0 |          1 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.GlobalUsings.g.cs                             | C#         |          7 |          1 |          1 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\project.assets.json                                                   | JSON       |      3,901 |          0 |          0 |      3,901 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Core.csproj                                                                   | XML        |         13 |          0 |          4 |         17 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\DataAccess\EntityFramework\EfEntityRepositoryBase.cs                          | C#         |         43 |          0 |         12 |         55 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\DataAccess\IEntityRepository.cs                                               | C#         |         13 |          0 |          9 |         22 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Entities\IDTO.cs                                                              | C#         |          4 |          0 |          2 |          6 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Entities\IEntity.cs                                                           | C#         |          4 |          0 |          2 |          6 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\DataResult.cs                                               | C#         |          9 |          0 |          9 |         18 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\ErrorDataResult.cs                                          | C#         |          9 |          0 |          5 |         14 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\ErrorResult.cs                                              | C#         |          9 |          0 |          3 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\IDataResult.cs                                              | C#         |          4 |          0 |          1 |          5 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\IResult.cs                                                  | C#         |          4 |          0 |          4 |          8 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\Result.cs                                                   | C#         |         13 |          0 |          7 |         20 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\SuccessResult.cs                                            | C#         |          8 |          0 |          6 |         14 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\SuccessResultData.cs                                        | C#         |          9 |          0 |          9 |         18 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\bin\Debug\net7.0\Core.deps.json                                               | JSON       |      1,295 |          0 |          0 |      1,295 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Core.csproj.nuget.dgspec.json                                             | JSON       |         81 |          0 |          0 |         81 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Core.csproj.nuget.g.props                                                 | XML        |         18 |          0 |          0 |         18 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Core.csproj.nuget.g.targets                                               | XML        |          7 |          0 |          0 |          7 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs               | C#         |          3 |          1 |          1 |          5 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\Core.AssemblyInfo.cs                                         | C#         |          9 |          9 |          5 |         23 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\Core.GeneratedMSBuildEditorConfig.editorconfig               | Properties |         11 |          0 |          1 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\Core.GlobalUsings.g.cs                                       | C#         |          7 |          1 |          1 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs             | C#         |          3 |          1 |          1 |          5 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\Core.AssemblyInfo.cs                                       | C#         |          9 |         10 |          5 |         24 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\Core.GeneratedMSBuildEditorConfig.editorconfig             | Properties |         11 |          0 |          1 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\Core.GlobalUsings.g.cs                                     | C#         |          7 |          1 |          1 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\project.assets.json                                                       | JSON       |      3,847 |          0 |          0 |      3,847 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\ICoordenadaDal.cs                                              | C#         |          5 |          0 |          3 |          8 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\ICursoDal.cs                                                   | C#         |          5 |          0 |          3 |          8 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IDocenteDal.cs                                                 | C#         |          4 |          0 |          2 |          6 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IEstudianteDal.cs                                              | C#         |          4 |          0 |          2 |          6 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IHorarioDal.cs                                                 | C#         |          4 |          0 |          4 |          8 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IMateriaDal.cs                                                 | C#         |          5 |          0 |          3 |          8 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IUbicationDal.cs                                               | C#         |          6 |          0 |          3 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IUserDal.cs                                                    | C#         |          7 |          0 |          1 |          8 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\DatabaseContext.cs                             | C#         |        322 |          0 |         84 |        406 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfCoordenadaDal.cs                             | C#         |          4 |          0 |          2 |          6 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfCursosDal.cs                                 | C#         |          5 |          0 |          2 |          7 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfDocenteDal.cs                                | C#         |          5 |          0 |          2 |          7 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfEstudianteDal.cs                             | C#         |          4 |          0 |          5 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfHorarioDal.cs                                | C#         |          4 |          0 |          2 |          6 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfMateriaDal.cs                                | C#         |         34 |          0 |         10 |         44 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfUbicacionDal.cs                              | C#         |          5 |          0 |          2 |          7 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfUserDal.cs                                   | C#         |         53 |          0 |         19 |         72 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\DataAccess.csproj                                                       | XML        |         20 |          0 |          4 |         24 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\bin\Debug\net7.0\DataAccess.deps.json                                   | JSON       |      1,416 |          0 |          0 |      1,416 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\bin\Debug\net7.0\DataAccess.runtimeconfig.json                          | JSON       |         12 |          0 |          0 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.EntityFrameworkCore.targets                       | XML        |         25 |          0 |          1 |         26 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.nuget.dgspec.json                                 | JSON       |        230 |          0 |          0 |        230 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.nuget.g.props                                     | XML        |         19 |          0 |          0 |         19 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.nuget.g.targets                                   | XML        |          7 |          0 |          0 |          7 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs         | C#         |          3 |          1 |          1 |          5 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Debug\net7.0\DataAccess.AssemblyInfo.cs                             | C#         |          9 |          9 |          5 |         23 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Debug\net7.0\DataAccess.GeneratedMSBuildEditorConfig.editorconfig   | Properties |         11 |          0 |          1 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Debug\net7.0\DataAccess.GlobalUsings.g.cs                           | C#         |          7 |          1 |          1 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs       | C#         |          3 |          1 |          1 |          5 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\DataAccess.AssemblyInfo.cs                           | C#         |          9 |         10 |          5 |         24 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\DataAccess.GeneratedMSBuildEditorConfig.editorconfig | Properties |         11 |          0 |          1 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\DataAccess.GlobalUsings.g.cs                         | C#         |          7 |          1 |          1 |          9 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\project.assets.json                                                 | JSON       |      4,080 |          0 |          0 |      4,080 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Anio.cs                                                          | C#         |          8 |          0 |          2 |         10 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\AnioCurso.cs                                                     | C#         |         10 |          0 |          4 |         14 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Coordenada.cs                                                    | C#         |         14 |          0 |         12 |         26 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Curso.cs                                                         | C#         |         11 |          0 |          5 |         16 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Docente.cs                                                       | C#         |          9 |          0 |          3 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\EstudiaEn.cs                                                     | C#         |          8 |          0 |          4 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Estudiante.cs                                                    | C#         |          9 |          0 |          3 |         12 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Horario.cs                                                       | C#         |         11 |          0 |          5 |         16 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\HorarioCmUbicacione.cs                                           | C#         |         12 |          0 |         10 |         22 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Materium.cs                                                      | C#         |         11 |          0 |          5 |         16 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Plano.cs                                                         | C#         |         10 |          0 |          4 |         14 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Ubicacione.cs                                                    | C#         |         16 |          0 |         10 |         26 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Usuario.cs                                                       | C#         |         20 |          0 |         11 |         31 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\DTO´s\AuthDTO.cs                                                          | C#         |          8 |          0 |          3 |         11 |
| c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\DTO´s\MateriasCursoDTO.cs                                                 | C#         |         12 |          0 |          2 |         14 |
